2026-04-18 01:54:08 | INFO | 🟡 WAIT       | SAMMAANCAP      | ₹    154.53 | EMAs converging, no breakout yet
2026-04-18 01:54:10 | INFO | 🟠 CAUTIOUS   | BANKINDIA       | ₹    148.10 | Below 20W EMA
2026-04-18 01:54:12 | INFO | 🟢 HOLD_ADD   | TORNTPHARM      | ₹   4179.50 | Above all weekly EMAs
2026-04-18 01:54:14 | INFO | 🔴 EXIT       | JUBLFOOD        | ₹    458.95 | Below 40W EMA
2026-04-18 01:54:16 | INFO | 🔴 EXIT       | HUDCO           | ₹    196.91 | Below 40W EMA
2026-04-18 01:54:18 | INFO | 🟡 WAIT       | HSCL            | ₹    493.55 | EMAs converging, no breakout yet
2026-04-18 01:54:20 | INFO | 🔴 EXIT       | PATANJALI       | ₹    468.30 | Below 40W EMA
2026-04-18 01:54:23 | INFO | 🟢 HOLD_ADD   | MAHABANK        | ₹     72.73 | Above all weekly EMAs
2026-04-18 01:54:25 | INFO | 🔴 EXIT       | TEJASNET        | ₹    424.55 | Below 40W EMA
2026-04-18 01:54:27 | WARNING | HDBFS: Insufficient data for analysis
2026-04-18 01:54:29 | INFO | 🔴 EXIT       | GODREJPROP      | ₹   1758.80 | Below 40W EMA
2026-04-18 01:54:31 | INFO | 🔴 EXIT       | BEML            | ₹   1772.40 | Below 40W EMA
2026-04-18 01:54:33 | INFO | 🟢 HOLD_ADD   | AUBANK          | ₹    990.60 | Above all weekly EMAs
2026-04-18 01:54:35 | WARNING | EMMVEE: Insufficient data for analysis
2026-04-18 01:54:38 | INFO | 🟢 HOLD_ADD   | NATCOPHARM      | ₹   1119.70 | Above all weekly EMAs
2026-04-18 01:54:40 | INFO | 🔴 EXIT       | MANKIND         | ₹   2125.00 | Below 40W EMA
2026-04-18 01:54:42 | INFO | 🟡 WAIT       | GRASIM          | ₹   2720.50 | EMAs converging, no breakout yet
2026-04-18 01:54:44 | INFO | 🟢 HOLD_ADD   | GESHIP          | ₹   1424.30 | Above all weekly EMAs
2026-04-18 01:54:46 | INFO | 🔴 EXIT       | KPITTECH        | ₹    747.80 | Below 40W EMA
2026-04-18 01:54:48 | INFO | 🔴 EXIT       | CROMPTON        | ₹    261.45 | Below 40W EMA
2026-04-18 01:54:50 | INFO | 🔴 EXIT       | LICI            | ₹    842.20 | Below 40W EMA
2026-04-18 01:54:53 | INFO | 🔴 EXIT       | IDFCFIRSTB      | ₹     68.53 | Below 40W EMA
2026-04-18 01:54:55 | INFO | 🟢 HOLD_ADD   | ACMESOLAR       | ₹    304.65 | Above all weekly EMAs
2026-04-18 01:54:57 | WARNING | PWL: Insufficient data for analysis
