2026-04-11 01:38:00 | INFO | 🟢 HOLD_ADD   | OBEROIRLTY      | ₹   1671.70 | Above all weekly EMAs
2026-04-11 01:38:03 | INFO | 🔴 EXIT       | IRB             | ₹     21.66 | Below 40W EMA
2026-04-11 01:38:05 | INFO | 🔴 EXIT       | SYNGENE         | ₹    404.65 | Below 40W EMA
2026-04-11 01:38:07 | INFO | 🟡 WAIT       | BANDHANBNK      | ₹    168.07 | EMAs converging, no breakout yet
2026-04-11 01:38:09 | INFO | 🟡 WAIT       | PETRONET        | ₹    270.74 | EMAs converging, no breakout yet
2026-04-11 01:38:11 | INFO | 🔴 EXIT       | HYUNDAI         | ₹   1796.40 | Below 40W EMA
2026-04-11 01:38:13 | INFO | 🔴 EXIT       | VMM             | ₹    114.50 | Below 40W EMA
2026-04-11 01:38:15 | INFO | 🟣 FADING     | KARURVYSYA      | ₹    281.70 | Below 10W EMA - momentum fading
2026-04-11 01:38:18 | INFO | 🔴 EXIT       | TATAINVEST      | ₹    665.65 | Below 40W EMA
2026-04-11 01:38:20 | INFO | 🟡 WAIT       | MANAPPURAM      | ₹    267.60 | EMAs converging, no breakout yet
2026-04-11 01:38:22 | INFO | 🔴 EXIT       | FIRSTCRY        | ₹    243.61 | Below 40W EMA
2026-04-11 01:38:24 | INFO | 🔴 EXIT       | DABUR           | ₹    435.70 | Below 40W EMA
2026-04-11 01:38:26 | INFO | 🔴 EXIT       | ANANTRAJ        | ₹    488.10 | Below 40W EMA
2026-04-11 01:38:28 | INFO | 🟡 WAIT       | SUPREMEIND      | ₹   3802.40 | EMAs converging, no breakout yet
