2026-03-14 01:28:26 | INFO | 🔴 EXIT       | GODREJIND       | ₹    837.95 | Below 40W EMA
2026-03-14 01:28:28 | INFO | 🔴 EXIT       | SYNGENE         | ₹    420.85 | Below 40W EMA
2026-03-14 01:28:31 | INFO | 🟢 HOLD_ADD   | FACT            | ₹    851.50 | Above all weekly EMAs
2026-03-14 01:28:33 | INFO | 🔴 EXIT       | PERSISTENT      | ₹   4638.80 | Below 40W EMA
2026-03-14 01:28:35 | INFO | 🔴 EXIT       | EXIDEIND        | ₹    296.60 | Below 40W EMA
2026-03-14 01:28:37 | INFO | 🔴 EXIT       | BDL             | ₹   1312.00 | Below 40W EMA
2026-03-14 01:28:40 | INFO | 🟠 CAUTIOUS   | MFSL            | ₹   1628.10 | Below 20W EMA
2026-03-14 01:28:42 | INFO | 🔴 EXIT       | PRESTIGE        | ₹   1257.00 | Below 40W EMA
2026-03-14 01:28:44 | INFO | 🟠 CAUTIOUS   | AUBANK          | ₹    884.35 | Below 20W EMA
2026-03-14 01:28:46 | INFO | 🔴 EXIT       | MANKIND         | ₹   2138.90 | Below 40W EMA
2026-03-14 01:28:48 | INFO | 🔴 EXIT       | ATGL            | ₹    565.90 | Below 40W EMA
2026-03-14 01:28:50 | INFO | 🔴 EXIT       | DALBHARAT       | ₹   1839.90 | Broke support with EMAs converging
2026-03-14 01:28:52 | INFO | 🔴 EXIT       | LICHSGFIN       | ₹    496.60 | Below 40W EMA
2026-03-14 01:28:55 | INFO | 🟣 FADING     | UNIONBANK       | ₹    173.88 | Below 10W EMA - momentum fading
2026-03-14 01:28:57 | INFO | 🟢 HOLD_ADD   | POWERINDIA      | ₹  24165.00 | Above all weekly EMAs
2026-03-14 01:28:59 | INFO | 🔴 EXIT       | PAGEIND         | ₹  30285.00 | Below 40W EMA
2026-03-14 01:29:01 | INFO | 🔴 EXIT       | ITCHOTELS       | ₹    153.12 | Below 40W EMA
2026-03-14 01:29:04 | INFO | 🔴 EXIT       | ABBOTINDIA      | ₹  26960.00 | Below 40W EMA
2026-03-14 01:29:06 | INFO | 🔴 EXIT       | ACC             | ₹   1376.40 | Below 40W EMA
2026-03-14 01:29:08 | INFO | 🔴 EXIT       | JSL             | ₹    707.45 | Broke support with EMAs converging
2026-03-14 01:29:10 | INFO | 🔴 EXIT       | CRISIL          | ₹   4164.10 | Below 40W EMA
2026-03-14 01:29:12 | INFO | 🟡 WAIT       | YESBANK         | ₹     18.80 | EMAs converging, no breakout yet
2026-03-14 01:29:14 | INFO | 🔴 EXIT       | AWL             | ₹    172.89 | Below 40W EMA
2026-03-14 01:29:17 | INFO | 🔴 EXIT       | POLYCAB         | ₹   7193.50 | Below 40W EMA
2026-03-14 01:29:19 | INFO | 🔴 EXIT       | HUDCO           | ₹    172.70 | Below 40W EMA
2026-03-14 01:29:21 | INFO | 🔴 EXIT       | SJVN            | ₹     69.89 | Below 40W EMA
2026-03-14 01:29:23 | INFO | 🟠 CAUTIOUS   | BANKINDIA       | ₹    150.20 | Below 20W EMA
2026-03-14 01:29:25 | INFO | 🔴 EXIT       | NHPC            | ₹     74.98 | Below 40W EMA
2026-03-14 01:29:28 | INFO | 🔴 EXIT       | HINDPETRO       | ₹    368.75 | Broke support with EMAs converging
2026-03-14 01:29:30 | INFO | 🟡 WAIT       | BIOCON          | ₹    383.55 | EMAs converging, no breakout yet
2026-03-14 01:29:32 | INFO | 🔴 EXIT       | NAM-INDIA       | ₹    823.65 | Below 40W EMA
2026-03-14 01:29:34 | INFO | 🔴 EXIT       | JSWINFRA        | ₹    253.40 | Below 40W EMA
